scientific_name,year_discovered,family_scientific_name
"Ploceus Cuvier, 1816",1816,(SELECT scientific_name FROM families WHERE scientific_name = 'Ploceidae')
"Vidua Cuvier, 1816",1816,(SELECT scientific_name FROM families WHERE scientific_name = 'Viduidae')
"Dacnis Cuvier, 1816",1816,(SELECT scientific_name FROM families WHERE scientific_name = 'Thraupidae')
"Tragopan Cuvier, 1829",1829,(SELECT scientific_name FROM families WHERE scientific_name = 'Phasianidae')
"Megacrex DAlbertis & Salvadori, 1879",1879,(SELECT scientific_name FROM families WHERE scientific_name = 'Rallidae')
"Hirundinea dOrbigny & Lafresnaye, 1837",1837,(SELECT scientific_name FROM families WHERE scientific_name = 'Tyrannidae')
"Muscisaxicola dOrbigny & Lafresnaye, 1837",1837,(SELECT scientific_name FROM families WHERE scientific_name = 'Tyrannidae')
"Muscigralla dOrbigny & Lafresnaye, 1837",1837,(SELECT scientific_name FROM families WHERE scientific_name = 'Tyrannidae')
"Anumbius dOrbigny & Lafresnaye, 1838",1838,(SELECT scientific_name FROM families WHERE scientific_name = 'Furnariidae')
"Conirostrum dOrbigny & Lafresnaye, 1838",1838,(SELECT scientific_name FROM families WHERE scientific_name = 'Thraupidae')
"Phalcoboenus dOrbigny, 1834",1834,(SELECT scientific_name FROM families WHERE scientific_name = 'Falconidae')
"Suiriri dOrbigny, 1840",1840,(SELECT scientific_name FROM families WHERE scientific_name = 'Tyrannidae')
"Arundinicola dOrbigny, 1840",1840,(SELECT scientific_name FROM families WHERE scientific_name = 'Tyrannidae')
"Moupinia David, A & Oustalet, 1877",1877,(SELECT scientific_name FROM families WHERE scientific_name = 'Paradoxornithidae')
"Fulvetta David, A & Oustalet, 1877",1877,(SELECT scientific_name FROM families WHERE scientific_name = 'Paradoxornithidae')
"Spelaeornis David, A & Oustalet, 1877",1877,(SELECT scientific_name FROM families WHERE scientific_name = 'Timaliidae')
"Irania de Filippi, 1863",1863,(SELECT scientific_name FROM families WHERE scientific_name = 'Muscicapidae')
"Pharomachrus de la Llave, 1832",1832,(SELECT scientific_name FROM families WHERE scientific_name = 'Trogonidae')
"Schoutedenapus De Roo, 1968",1968,(SELECT scientific_name FROM families WHERE scientific_name = 'Apodidae')
"Periparus de Slys-Longchamps, 1884",1884,(SELECT scientific_name FROM families WHERE scientific_name = 'Paridae')
"Pardaliparus de Slys-Longchamps, 1884",1884,(SELECT scientific_name FROM families WHERE scientific_name = 'Paridae')
"Sittiparus de Slys-Longchamps, 1884",1884,(SELECT scientific_name FROM families WHERE scientific_name = 'Paridae')
"Prionodura De Vis, 1883",1883,(SELECT scientific_name FROM families WHERE scientific_name = 'Ptilonorhynchidae')
"Cnemophilus De Vis, 1890",1890,(SELECT scientific_name FROM families WHERE scientific_name = 'Cnemophilidae')
"Paramythia De Vis, 1892",1892,(SELECT scientific_name FROM families WHERE scientific_name = 'Paramythiidae')
"Amalocichla De Vis, 1892",1892,(SELECT scientific_name FROM families WHERE scientific_name = 'Petroicidae')
"Ptiloprora De Vis, 1894",1894,(SELECT scientific_name FROM families WHERE scientific_name = 'Meliphagidae')
"Eulacestoma De Vis, 1894",1894,(SELECT scientific_name FROM families WHERE scientific_name = 'Eulacestomatidae')
"Macgregoria De Vis, 1897",1897,(SELECT scientific_name FROM families WHERE scientific_name = 'Meliphagidae')
"Daphoenositta De Vis, 1897",1897,(SELECT scientific_name FROM families WHERE scientific_name = 'Neosittidae')
"Oreostruthus De Vis, 1898",1898,(SELECT scientific_name FROM families WHERE scientific_name = 'Estrildidae')
"Randia Delacour & Berlioz, 1931",1931,(SELECT scientific_name FROM families WHERE scientific_name = 'Bernieridae')
"Callonetta Delacour, 1936",1936,(SELECT scientific_name FROM families WHERE scientific_name = 'Anatidae')
"Certhiasomus Derryberry, Claramunt, Chesser, Aleixo, Cracraft, Moyle & Brumfield, 2010",2010,(SELECT scientific_name FROM families WHERE scientific_name = 'Furnariidae')
"Pseudasthenes Derryberry, Claramunt, OQuin, Aleixo, Chesser, Remsen & Brumfield, 2010",2010,(SELECT scientific_name FROM families WHERE scientific_name = 'Furnariidae')
"Galbalcyrhynchus des Murs, 1845",1845,(SELECT scientific_name FROM families WHERE scientific_name = 'Galbulidae')
"Casiornis des Murs, 1856",1856,(SELECT scientific_name FROM families WHERE scientific_name = 'Tyrannidae')
"Platyrinchus Desmarest, 1805",1805,(SELECT scientific_name FROM families WHERE scientific_name = 'Tyrannidae')
"Ramphocelus Desmarest, 1805",1805,(SELECT scientific_name FROM families WHERE scientific_name = 'Thraupidae')
"Euphonia Desmarest, 1806",1806,(SELECT scientific_name FROM families WHERE scientific_name = 'Fringillidae')
"Calyptorhynchus Desmarest, 1826",1826,(SELECT scientific_name FROM families WHERE scientific_name = 'Cacatuidae')
"Xenoperdix Dinesen, Lehmberg, Svendsen, Hansen & Fjelds, 1994",1994,(SELECT scientific_name FROM families WHERE scientific_name = 'Phasianidae')
"Tribonyx Du Bus de Gisignies, 1840",1840,(SELECT scientific_name FROM families WHERE scientific_name = 'Rallidae')
"Cardellina Du Bus de Gisignies, 1849",1849,(SELECT scientific_name FROM families WHERE scientific_name = 'Parulidae')
"Sarcoramphus Dumril, 1805",1805,(SELECT scientific_name FROM families WHERE scientific_name = 'Cathartidae')
"Surnia Dumril, 1805",1805,(SELECT scientific_name FROM families WHERE scientific_name = 'Strigidae')
"Bubo Dumril, 1805",1805,(SELECT scientific_name FROM families WHERE scientific_name = 'Strigidae')
"Morphnus Dumont, 1816",1816,(SELECT scientific_name FROM families WHERE scientific_name = 'Accipitridae')
"Akletos Dunajewski, 1948",1948,(SELECT scientific_name FROM families WHERE scientific_name = 'Thamnophilidae')
"Xenotriccus Dwight & Griscom, 1927",1927,(SELECT scientific_name FROM families WHERE scientific_name = 'Tyrannidae')
"Dendragapus Elliot, DG, 1864",1864,(SELECT scientific_name FROM families WHERE scientific_name = 'Phasianidae')
"Falcipennis Elliot, DG, 1864",1864,(SELECT scientific_name FROM families WHERE scientific_name = 'Phasianidae')
"Clytoctantes Elliot, DG, 1870",1870,(SELECT scientific_name FROM families WHERE scientific_name = 'Thamnophilidae')
"Clytorhynchus Elliot, DG, 1870",1870,(SELECT scientific_name FROM families WHERE scientific_name = 'Monarchidae')
"Tetraophasis Elliot, DG, 1871",1871,(SELECT scientific_name FROM families WHERE scientific_name = 'Phasianidae')
"Amblyornis Elliot, DG, 1872",1872,(SELECT scientific_name FROM families WHERE scientific_name = 'Ptilonorhynchidae')
"Thinocorus Eschscholtz, 1829",1829,(SELECT scientific_name FROM families WHERE scientific_name = 'Thinocoridae')
"Polysticta Eyton, 1836",1836,(SELECT scientific_name FROM families WHERE scientific_name = 'Anatidae')
"Chroicocephalus Eyton, 1836",1836,(SELECT scientific_name FROM families WHERE scientific_name = 'Laridae')
"Thalassornis Eyton, 1838",1838,(SELECT scientific_name FROM families WHERE scientific_name = 'Anatidae')
"Sarkidiornis Eyton, 1838",1838,(SELECT scientific_name FROM families WHERE scientific_name = 'Anatidae')
"Chloephaga Eyton, 1838",1838,(SELECT scientific_name FROM families WHERE scientific_name = 'Anatidae')
"Microtarsus Eyton, 1839",1839,(SELECT scientific_name FROM families WHERE scientific_name = 'Pycnonotidae')
"Malacopteron Eyton, 1839",1839,(SELECT scientific_name FROM families WHERE scientific_name = 'Pellorneidae')
"Philentoma Eyton, 1845",1845,(SELECT scientific_name FROM families WHERE scientific_name = 'Vangidae')
"Dendrexetastes Eyton, 1851",1851,(SELECT scientific_name FROM families WHERE scientific_name = 'Furnariidae')
"Drymornis Eyton, 1852",1852,(SELECT scientific_name FROM families WHERE scientific_name = 'Furnariidae')
"Paradisornis Finsch & Meyer, AB, 1886",1886,(SELECT scientific_name FROM families WHERE scientific_name = 'Paradisaeidae')
"Lamprolia Finsch, 1874",1874,(SELECT scientific_name FROM families WHERE scientific_name = 'Rhipiduridae')
"Eugerygone Finsch, 1901",1901,(SELECT scientific_name FROM families WHERE scientific_name = 'Petroicidae')
"Onychorhynchus Fischer von Waldheim, 1810",1810,(SELECT scientific_name FROM families WHERE scientific_name = 'Tityridae')
"Podoces Fischer von Waldheim, 1821",1821,(SELECT scientific_name FROM families WHERE scientific_name = 'Corvidae')
"Drepanorhynchus Fischer, GA & Reichenow, 1884",1884,(SELECT scientific_name FROM families WHERE scientific_name = 'Nectariniidae')
"Neocossyphus Fischer, GA, 1884",1884,(SELECT scientific_name FROM families WHERE scientific_name = 'Turdidae')
"Euneornis Fitzinger, 1856",1856,(SELECT scientific_name FROM families WHERE scientific_name = 'Thraupidae')
"Cairina Fleming, J, 1822",1822,(SELECT scientific_name FROM families WHERE scientific_name = 'Anatidae')
"Lophura Fleming, J, 1822",1822,(SELECT scientific_name FROM families WHERE scientific_name = 'Phasianidae')
"Diaphorapteryx Forbes, HO, 1892",1892,(SELECT scientific_name FROM families WHERE scientific_name = 'Rallidae')
"Garrodia Forbes, WA, 1881",1881,(SELECT scientific_name FROM families WHERE scientific_name = 'Oceanitidae')
"Chionis Forster, JR, 1788",1788,(SELECT scientific_name FROM families WHERE scientific_name = 'Chionidae')
"Gavia Forster, JR, 1788",1788,(SELECT scientific_name FROM families WHERE scientific_name = 'Gaviidae')
"Callaeas Forster, JR, 1788",1788,(SELECT scientific_name FROM families WHERE scientific_name = 'Callaeidae')
"Tetrax Forster, T, 1817",1817,(SELECT scientific_name FROM families WHERE scientific_name = 'Otididae')
"Nycticorax Forster, T, 1817",1817,(SELECT scientific_name FROM families WHERE scientific_name = 'Ardeidae')
"Egretta Forster, T, 1817",1817,(SELECT scientific_name FROM families WHERE scientific_name = 'Ardeidae')
"Riparia Forster, T, 1817",1817,(SELECT scientific_name FROM families WHERE scientific_name = 'Hirundinidae')
"Luscinia Forster, T, 1817",1817,(SELECT scientific_name FROM families WHERE scientific_name = 'Muscicapidae')
"Phoenicurus Forster, T, 1817",1817,(SELECT scientific_name FROM families WHERE scientific_name = 'Muscicapidae')
"Aphanapteryx Frauenfeld, 1868",1868,(SELECT scientific_name FROM families WHERE scientific_name = 'Rallidae')
"Artisornis Friedmann, 1928",1928,(SELECT scientific_name FROM families WHERE scientific_name = 'Cisticolidae')
"Nok Fuchs, Pasquet, Stuart, B, Woxvold, Duckworth & Bowie, 2018",2018,(SELECT scientific_name FROM families WHERE scientific_name = 'Pycnonotidae')
"Megapodius Gaimard, 1823",1823,(SELECT scientific_name FROM families WHERE scientific_name = 'Megapodiidae')
"Chamaea Gambel, 1847",1847,(SELECT scientific_name FROM families WHERE scientific_name = 'Paradoxornithidae')
"Cygnus Garsault, 1764",1764,(SELECT scientific_name FROM families WHERE scientific_name = 'Anatidae')
"Coturnix Garsault, 1764",1764,(SELECT scientific_name FROM families WHERE scientific_name = 'Phasianidae')
"Sylviorthorhynchus Gay, 1845",1845,(SELECT scientific_name FROM families WHERE scientific_name = 'Furnariidae')
"Cephalopterus Geoffroy Saint-Hilaire, , 1809",1809,(SELECT scientific_name FROM families WHERE scientific_name = 'Cotingidae')
"Gymnoderus Geoffroy Saint-Hilaire, , 1809",1809,(SELECT scientific_name FROM families WHERE scientific_name = 'Cotingidae')
"Attagis Geoffroy Saint-Hilaire, I & Lesson, RP, 1831",1831,(SELECT scientific_name FROM families WHERE scientific_name = 'Thinocoridae')
"Phodilus Geoffroy Saint-Hilaire, I, 1830",1830,(SELECT scientific_name FROM families WHERE scientific_name = 'Tytonidae')
"Eudromia Geoffroy Saint-Hilaire, I, 1832",1832,(SELECT scientific_name FROM families WHERE scientific_name = 'Tinamidae')
"Upucerthia Geoffroy Saint-Hilaire, I, 1832",1832,(SELECT scientific_name FROM families WHERE scientific_name = 'Furnariidae')
"Philesturnus Geoffroy Saint-Hilaire, I, 1832",1832,(SELECT scientific_name FROM families WHERE scientific_name = 'Callaeidae')
"Falculea Geoffroy Saint-Hilaire, I, 1836",1836,(SELECT scientific_name FROM families WHERE scientific_name = 'Vangidae')
"Philepitta Geoffroy Saint-Hilaire, I, 1838",1838,(SELECT scientific_name FROM families WHERE scientific_name = 'Philepittidae')
"Oriolia Geoffroy Saint-Hilaire, I, 1838",1838,(SELECT scientific_name FROM families WHERE scientific_name = 'Vangidae')
"Rhopophilus Giglioli & Salvadori, 1870",1870,(SELECT scientific_name FROM families WHERE scientific_name = 'Paradoxornithidae')
"Vosea Gilliard, 1960",1960,(SELECT scientific_name FROM families WHERE scientific_name = 'Meliphagidae')
"Electron Gistel, 1848",1848,(SELECT scientific_name FROM families WHERE scientific_name = 'Momotidae')
"Neomorphus Gloger, 1827",1827,(SELECT scientific_name FROM families WHERE scientific_name = 'Cuculidae')
"Terpsiphone Gloger, 1827",1827,(SELECT scientific_name FROM families WHERE scientific_name = 'Monarchidae')
"Tympanuchus Gloger, 1841",1841,(SELECT scientific_name FROM families WHERE scientific_name = 'Phasianidae')
"Necrosyrtes Gloger, 1841",1841,(SELECT scientific_name FROM families WHERE scientific_name = 'Accipitridae')
"Rhinoplax Gloger, 1841",1841,(SELECT scientific_name FROM families WHERE scientific_name = 'Bucerotidae')
"Pelargopsis Gloger, 1841",1841,(SELECT scientific_name FROM families WHERE scientific_name = 'Alcedinidae')
"Xipholena Gloger, 1841",1841,(SELECT scientific_name FROM families WHERE scientific_name = 'Cotingidae')
"Taoniscus Gloger, 1842",1842,(SELECT scientific_name FROM families WHERE scientific_name = 'Tinamidae')
"Colinus Goldfuss, 1820",1820,(SELECT scientific_name FROM families WHERE scientific_name = 'Odontophoridae')
"Cryptosylvicola Goodman, Langrand & Whitney, 1996",1996,(SELECT scientific_name FROM families WHERE scientific_name = 'Bernieridae')
"Tachornis Gosse, 1847",1847,(SELECT scientific_name FROM families WHERE scientific_name = 'Apodidae')
"Geotrygon Gosse, 1847",1847,(SELECT scientific_name FROM families WHERE scientific_name = 'Columbidae')
"Dendrocitta Gould, 1833",1833,(SELECT scientific_name FROM families WHERE scientific_name = 'Corvidae')
"Aulacorhynchus Gould, 1835",1835,(SELECT scientific_name FROM families WHERE scientific_name = 'Ramphastidae')
"Ianthocincla Gould, 1835",1835,(SELECT scientific_name FROM families WHERE scientific_name = 'Leiothrichidae')
"Paradoxornis Gould, 1836",1836,(SELECT scientific_name FROM families WHERE scientific_name = 'Paradoxornithidae')
"Actinodura Gould, 1836",1836,(SELECT scientific_name FROM families WHERE scientific_name = 'Leiothrichidae')
"Aplonis Gould, 1836",1836,(SELECT scientific_name FROM families WHERE scientific_name = 'Sturnidae')
"Calliope Gould, 1836",1836,(SELECT scientific_name FROM families WHERE scientific_name = 'Muscicapidae')
"Chelidoptera Gould, 1837",1837,(SELECT scientific_name FROM families WHERE scientific_name = 'Bucconidae')
"Selenidera Gould, 1837",1837,(SELECT scientific_name FROM families WHERE scientific_name = 'Ramphastidae')
"Scytalopus Gould, 1837",1837,(SELECT scientific_name FROM families WHERE scientific_name = 'Rhinocryptidae')
"Chlamydera Gould, 1837",1837,(SELECT scientific_name FROM families WHERE scientific_name = 'Ptilonorhynchidae')
"Acanthorhynchus Gould, 1837",1837,(SELECT scientific_name FROM families WHERE scientific_name = 'Meliphagidae')
"Struthidea Gould, 1837",1837,(SELECT scientific_name FROM families WHERE scientific_name = 'Corcoracidae')
"Certhidea Gould, 1837",1837,(SELECT scientific_name FROM families WHERE scientific_name = 'Thraupidae')
"Camarhynchus Gould, 1837",1837,(SELECT scientific_name FROM families WHERE scientific_name = 'Thraupidae')
"Geospiza Gould, 1837",1837,(SELECT scientific_name FROM families WHERE scientific_name = 'Thraupidae')
"Eurostopodus Gould, 1838",1838,(SELECT scientific_name FROM families WHERE scientific_name = 'Caprimulgidae')
"Lyncornis Gould, 1838",1838,(SELECT scientific_name FROM families WHERE scientific_name = 'Caprimulgidae')
"Nyctidromus Gould, 1838",1838,(SELECT scientific_name FROM families WHERE scientific_name = 'Caprimulgidae')
"Batrachostomus Gould, 1838",1838,(SELECT scientific_name FROM families WHERE scientific_name = 'Podargidae')
"Erythrogonys Gould, 1838",1838,(SELECT scientific_name FROM families WHERE scientific_name = 'Charadriidae')
"Pyrocephalus Gould, 1838",1838,(SELECT scientific_name FROM families WHERE scientific_name = 'Tyrannidae')
"Epthianura Gould, 1838",1838,(SELECT scientific_name FROM families WHERE scientific_name = 'Meliphagidae')
"Plectorhyncha Gould, 1838",1838,(SELECT scientific_name FROM families WHERE scientific_name = 'Meliphagidae')
"Acanthagenys Gould, 1838",1838,(SELECT scientific_name FROM families WHERE scientific_name = 'Meliphagidae')
"Calamanthus Gould, 1838",1838,(SELECT scientific_name FROM families WHERE scientific_name = 'Acanthizidae')
"Origma Gould, 1838",1838,(SELECT scientific_name FROM families WHERE scientific_name = 'Acanthizidae')
"Sericornis Gould, 1838",1838,(SELECT scientific_name FROM families WHERE scientific_name = 'Acanthizidae')
"Oreoica Gould, 1838",1838,(SELECT scientific_name FROM families WHERE scientific_name = 'Oreoicidae')
"Cincloramphus Gould, 1838",1838,(SELECT scientific_name FROM families WHERE scientific_name = 'Locustellidae')
"Limnornis Gould, 1839",1839,(SELECT scientific_name FROM families WHERE scientific_name = 'Furnariidae')
"Serpophaga Gould, 1839",1839,(SELECT scientific_name FROM families WHERE scientific_name = 'Tyrannidae')
"Agriornis Gould, 1839",1839,(SELECT scientific_name FROM families WHERE scientific_name = 'Tyrannidae')
"Leipoa Gould, 1840",1840,(SELECT scientific_name FROM families WHERE scientific_name = 'Megapodiidae')
"Pedionomus Gould, 1840",1840,(SELECT scientific_name FROM families WHERE scientific_name = 'Pedionomidae')
"Melopsittacus Gould, 1840",1840,(SELECT scientific_name FROM families WHERE scientific_name = 'Psittaculidae')
"Petrophassa Gould, 1841",1841,(SELECT scientific_name FROM families WHERE scientific_name = 'Columbidae')
"Lopholaimus Gould, 1841",1841,(SELECT scientific_name FROM families WHERE scientific_name = 'Columbidae')
"Pyrrholaemus Gould, 1841",1841,(SELECT scientific_name FROM families WHERE scientific_name = 'Acanthizidae')
"Gerygone Gould, 1841",1841,(SELECT scientific_name FROM families WHERE scientific_name = 'Acanthizidae')
"Drymodes Gould, 1841",1841,(SELECT scientific_name FROM families WHERE scientific_name = 'Petroicidae')
"Microeca Gould, 1841",1841,(SELECT scientific_name FROM families WHERE scientific_name = 'Petroicidae')
"Merganetta Gould, 1842",1842,(SELECT scientific_name FROM families WHERE scientific_name = 'Anatidae')
"Aprosmictus Gould, 1842",1842,(SELECT scientific_name FROM families WHERE scientific_name = 'Psittaculidae')
"Atticora Gould, 1842",1842,(SELECT scientific_name FROM families WHERE scientific_name = 'Hirundinidae')
"Emblema Gould, 1842",1842,(SELECT scientific_name FROM families WHERE scientific_name = 'Estrildidae')
"Poephila Gould, 1842",1842,(SELECT scientific_name FROM families WHERE scientific_name = 'Estrildidae')
"Synoicus Gould, 1843",1843,(SELECT scientific_name FROM families WHERE scientific_name = 'Phasianidae')
"Chalcophaps Gould, 1843",1843,(SELECT scientific_name FROM families WHERE scientific_name = 'Columbidae')
"Leucosarcia Gould, 1843",1843,(SELECT scientific_name FROM families WHERE scientific_name = 'Columbidae')
"Smicrornis Gould, 1843",1843,(SELECT scientific_name FROM families WHERE scientific_name = 'Acanthizidae')
"Hylacola Gould, 1843",1843,(SELECT scientific_name FROM families WHERE scientific_name = 'Acanthizidae')
"Dendrortyx Gould, 1844",1844,(SELECT scientific_name FROM families WHERE scientific_name = 'Odontophoridae')
"Cyrtonyx Gould, 1844",1844,(SELECT scientific_name FROM families WHERE scientific_name = 'Odontophoridae')
"Eulabeornis Gould, 1844",1844,(SELECT scientific_name FROM families WHERE scientific_name = 'Rallidae')
"Psephotus Gould, 1845",1845,(SELECT scientific_name FROM families WHERE scientific_name = 'Psittaculidae')
"Philortyx Gould, 1846",1846,(SELECT scientific_name FROM families WHERE scientific_name = 'Odontophoridae')
"Ocreatus Gould, 1846",1846,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Doryfera Gould, 1847",1847,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Oreotrochilus Gould, 1847",1847,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Metallura Gould, 1847",1847,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Heliangelus Gould, 1848",1848,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Oxypogon Gould, 1848",1848,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Aglaeactis Gould, 1848",1848,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Thalurania Gould, 1848",1848,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Augastes Gould, 1849",1849,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Pterophanes Gould, 1849",1849,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Heliodoxa Gould, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Balaeniceps Gould, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Balaenicipitidae')
"Chrysophlegma Gould, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Picidae')
"Ammoperdix Gould, 1851",1851,(SELECT scientific_name FROM families WHERE scientific_name = 'Phasianidae')
"Andigena Gould, 1851",1851,(SELECT scientific_name FROM families WHERE scientific_name = 'Ramphastidae')
"Pycnoptilus Gould, 1851",1851,(SELECT scientific_name FROM families WHERE scientific_name = 'Acanthizidae')
"Machaerirhynchus Gould, 1851",1851,(SELECT scientific_name FROM families WHERE scientific_name = 'Machaerirhynchidae')
"Eophona Gould, 1851",1851,(SELECT scientific_name FROM families WHERE scientific_name = 'Fringillidae')
"Threnetes Gould, 1852",1852,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Schistes Gould, 1852",1852,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Urosticte Gould, 1853",1853,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Chlorostilbon Gould, 1853",1853,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Eupetomena Gould, 1853",1853,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Urochroa Gould, 1856",1856,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Eugenes Gould, 1856",1856,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Calypte Gould, 1856",1856,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Eupherusa Gould, 1857",1857,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Sternoclyta Gould, 1858",1858,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Microchera Gould, 1858",1858,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Euptilotis Gould, 1858",1858,(SELECT scientific_name FROM families WHERE scientific_name = 'Trogonidae')
"Phlogophilus Gould, 1860",1860,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Phaeoptila Gould, 1861",1861,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Phaeochroa Gould, 1861",1861,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Bambusicola Gould, 1863",1863,(SELECT scientific_name FROM families WHERE scientific_name = 'Phasianidae')
"Androdon Gould, 1863",1863,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Melanodryas Gould, 1865",1865,(SELECT scientific_name FROM families WHERE scientific_name = 'Petroicidae')
"Poecilodryas Gould, 1865",1865,(SELECT scientific_name FROM families WHERE scientific_name = 'Petroicidae')
"Oreonympha Gould, 1869",1869,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Otidiphaps Gould, 1870",1870,(SELECT scientific_name FROM families WHERE scientific_name = 'Columbidae')
"Hylonympha Gould, 1873",1873,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Pachycare Gould, 1876",1876,(SELECT scientific_name FROM families WHERE scientific_name = 'Acanthizidae')
"Sarcophanops Gould, 1877",1877,(SELECT scientific_name FROM families WHERE scientific_name = 'Eurylaimidae')
"Calamonastides Grant, CHB & Mackworth-Praed, 1940",1940,(SELECT scientific_name FROM families WHERE scientific_name = 'Acrocephalidae')
"Scepomycter Grant, CHB & Mackworth-Praed, 1941",1941,(SELECT scientific_name FROM families WHERE scientific_name = 'Cisticolidae')
"Heteromirafra Grant, CHB, 1913",1913,(SELECT scientific_name FROM families WHERE scientific_name = 'Alaudidae')
"Sakesphoroides Grantsau, 2010",2010,(SELECT scientific_name FROM families WHERE scientific_name = 'Thamnophilidae')
"Myiobius Gray, GR, 1839",1839,(SELECT scientific_name FROM families WHERE scientific_name = 'Tityridae')
"Pachyramphus Gray, GR, 1839",1839,(SELECT scientific_name FROM families WHERE scientific_name = 'Tityridae')
"Acryllium Gray, GR, 1840",1840,(SELECT scientific_name FROM families WHERE scientific_name = 'Numididae')
"Eleothreptus Gray, GR, 1840",1840,(SELECT scientific_name FROM families WHERE scientific_name = 'Caprimulgidae')
"Collocalia Gray, GR, 1840",1840,(SELECT scientific_name FROM families WHERE scientific_name = 'Apodidae')
"Topaza Gray, GR, 1840",1840,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Sephanoides Gray, GR, 1840",1840,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Patagona Gray, GR, 1840",1840,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Calothorax Gray, GR, 1840",1840,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Carpococcyx Gray, GR, 1840",1840,(SELECT scientific_name FROM families WHERE scientific_name = 'Cuculidae')
"Caloenas Gray, GR, 1840",1840,(SELECT scientific_name FROM families WHERE scientific_name = 'Columbidae')
"Alectroenas Gray, GR, 1840",1840,(SELECT scientific_name FROM families WHERE scientific_name = 'Columbidae')
"Cladorhynchus Gray, GR, 1840",1840,(SELECT scientific_name FROM families WHERE scientific_name = 'Recurvirostridae')
"Spilornis Gray, GR, 1840",1840,(SELECT scientific_name FROM families WHERE scientific_name = 'Accipitridae')
"Micronisus Gray, GR, 1840",1840,(SELECT scientific_name FROM families WHERE scientific_name = 'Accipitridae')
"Melierax Gray, GR, 1840",1840,(SELECT scientific_name FROM families WHERE scientific_name = 'Accipitridae')
"Priotelus Gray, GR, 1840",1840,(SELECT scientific_name FROM families WHERE scientific_name = 'Trogonidae')
"Campephilus Gray, GR, 1840",1840,(SELECT scientific_name FROM families WHERE scientific_name = 'Picidae')
"Enicognathus Gray, GR, 1840",1840,(SELECT scientific_name FROM families WHERE scientific_name = 'Psittacidae')
"Dendrocincla Gray, GR, 1840",1840,(SELECT scientific_name FROM families WHERE scientific_name = 'Furnariidae')
"Cinclodes Gray, GR, 1840",1840,(SELECT scientific_name FROM families WHERE scientific_name = 'Furnariidae')
"Cymbilaimus Gray, GR, 1840",1840,(SELECT scientific_name FROM families WHERE scientific_name = 'Thamnophilidae')
"Pyroderus Gray, GR, 1840",1840,(SELECT scientific_name FROM families WHERE scientific_name = 'Cotingidae')
"Prosthemadera Gray, GR, 1840",1840,(SELECT scientific_name FROM families WHERE scientific_name = 'Meliphagidae')
"Anthornis Gray, GR, 1840",1840,(SELECT scientific_name FROM families WHERE scientific_name = 'Meliphagidae')
"Gymnorhina Gray, GR, 1840",1840,(SELECT scientific_name FROM families WHERE scientific_name = 'Artamidae')
"Cinclocerthia Gray, GR, 1840",1840,(SELECT scientific_name FROM families WHERE scientific_name = 'Mimidae')
"Melaenornis Gray, GR, 1840",1840,(SELECT scientific_name FROM families WHERE scientific_name = 'Muscicapidae')
"Coryphaspiza Gray, GR, 1840",1840,(SELECT scientific_name FROM families WHERE scientific_name = 'Thraupidae')
