scientific_name,year_discovered,family_scientific_name
"Campylorhamphus Bertoni, AW, 1901",1901,(SELECT scientific_name FROM families WHERE scientific_name = 'Furnariidae')
"Myiornis Bertoni, AW, 1901",1901,(SELECT scientific_name FROM families WHERE scientific_name = 'Tyrannidae')
"Ammomanopsis Bianchi, 1905",1905,(SELECT scientific_name FROM families WHERE scientific_name = 'Alaudidae')
"Ixobrychus Billberg, 1828",1828,(SELECT scientific_name FROM families WHERE scientific_name = 'Ardeidae')
"Tyto Billberg, 1828",1828,(SELECT scientific_name FROM families WHERE scientific_name = 'Tytonidae')
"Amandava Blyth, 1836",1836,(SELECT scientific_name FROM families WHERE scientific_name = 'Estrildidae')
"Habia Blyth, 1840",1840,(SELECT scientific_name FROM families WHERE scientific_name = 'Cardinalidae')
"Psittinus Blyth, 1842",1842,(SELECT scientific_name FROM families WHERE scientific_name = 'Psittaculidae')
"Mixornis Blyth, 1842",1842,(SELECT scientific_name FROM families WHERE scientific_name = 'Timaliidae')
"Heterophasia Blyth, 1842",1842,(SELECT scientific_name FROM families WHERE scientific_name = 'Leiothrichidae')
"Ampeliceps Blyth, 1842",1842,(SELECT scientific_name FROM families WHERE scientific_name = 'Sturnidae')
"Cinclidium Blyth, 1842",1842,(SELECT scientific_name FROM families WHERE scientific_name = 'Muscicapidae')
"Ictinaetus Blyth, 1843",1843,(SELECT scientific_name FROM families WHERE scientific_name = 'Accipitridae')
"Chrysocolaptes Blyth, 1843",1843,(SELECT scientific_name FROM families WHERE scientific_name = 'Picidae')
"Hydrornis Blyth, 1843",1843,(SELECT scientific_name FROM families WHERE scientific_name = 'Pittidae')
"Chelidorhynx Blyth, 1843",1843,(SELECT scientific_name FROM families WHERE scientific_name = 'Stenostiridae')
"Alcurus Blyth, 1843",1843,(SELECT scientific_name FROM families WHERE scientific_name = 'Pycnonotidae')
"Myzornis Blyth, 1843",1843,(SELECT scientific_name FROM families WHERE scientific_name = 'Paradoxornithidae')
"Chrysomma Blyth, 1843",1843,(SELECT scientific_name FROM families WHERE scientific_name = 'Paradoxornithidae')
"Trochalopteron Blyth, 1843",1843,(SELECT scientific_name FROM families WHERE scientific_name = 'Leiothrichidae')
"Cyornis Blyth, 1843",1843,(SELECT scientific_name FROM families WHERE scientific_name = 'Muscicapidae')
"Procarduelis Blyth, 1843",1843,(SELECT scientific_name FROM families WHERE scientific_name = 'Fringillidae')
"Iole Blyth, 1844",1844,(SELECT scientific_name FROM families WHERE scientific_name = 'Pycnonotidae')
"Schoenicola Blyth, 1844",1844,(SELECT scientific_name FROM families WHERE scientific_name = 'Locustellidae')
"Turdinus Blyth, 1844",1844,(SELECT scientific_name FROM families WHERE scientific_name = 'Pellorneidae')
"Gampsorhynchus Blyth, 1844",1844,(SELECT scientific_name FROM families WHERE scientific_name = 'Pellorneidae')
"Alcippe Blyth, 1844",1844,(SELECT scientific_name FROM families WHERE scientific_name = 'Alcippeidae')
"Dendronanthus Blyth, 1844",1844,(SELECT scientific_name FROM families WHERE scientific_name = 'Motacillidae')
"Galloperdix Blyth, 1845",1845,(SELECT scientific_name FROM families WHERE scientific_name = 'Phasianidae')
"Gecinulus Blyth, 1845",1845,(SELECT scientific_name FROM families WHERE scientific_name = 'Picidae')
"Micropternus Blyth, 1845",1845,(SELECT scientific_name FROM families WHERE scientific_name = 'Picidae')
"Hemixos Blyth, 1845",1845,(SELECT scientific_name FROM families WHERE scientific_name = 'Pycnonotidae')
"Brachypodius Blyth, 1845",1845,(SELECT scientific_name FROM families WHERE scientific_name = 'Pycnonotidae')
"Ixodia Blyth, 1845",1845,(SELECT scientific_name FROM families WHERE scientific_name = 'Pycnonotidae')
"Rubigula Blyth, 1845",1845,(SELECT scientific_name FROM families WHERE scientific_name = 'Pycnonotidae')
"Spizixos Blyth, 1845",1845,(SELECT scientific_name FROM families WHERE scientific_name = 'Pycnonotidae')
"Arundinax Blyth, 1845",1845,(SELECT scientific_name FROM families WHERE scientific_name = 'Acrocephalidae')
"Laticilla Blyth, 1845",1845,(SELECT scientific_name FROM families WHERE scientific_name = 'Pellorneidae')
"Malacocincla Blyth, 1845",1845,(SELECT scientific_name FROM families WHERE scientific_name = 'Pellorneidae')
"Gymnoris Blyth, 1845",1845,(SELECT scientific_name FROM families WHERE scientific_name = 'Passeridae')
"Leioptila Blyth, 1847",1847,(SELECT scientific_name FROM families WHERE scientific_name = 'Leiothrichidae')
"Cyanoptila Blyth, 1847",1847,(SELECT scientific_name FROM families WHERE scientific_name = 'Muscicapidae')
"Anthipes Blyth, 1847",1847,(SELECT scientific_name FROM families WHERE scientific_name = 'Muscicapidae')
"Loriculus Blyth, 1849",1849,(SELECT scientific_name FROM families WHERE scientific_name = 'Psittaculidae')
"Scleroptila Blyth, 1852",1852,(SELECT scientific_name FROM families WHERE scientific_name = 'Phasianidae')
"Gallicrex Blyth, 1852",1852,(SELECT scientific_name FROM families WHERE scientific_name = 'Rallidae')
"Larosterna Blyth, 1852",1852,(SELECT scientific_name FROM families WHERE scientific_name = 'Laridae')
"Butorides Blyth, 1852",1852,(SELECT scientific_name FROM families WHERE scientific_name = 'Ardeidae')
"Dumetia Blyth, 1852",1852,(SELECT scientific_name FROM families WHERE scientific_name = 'Timaliidae')
"Calendulauda Blyth, 1855",1855,(SELECT scientific_name FROM families WHERE scientific_name = 'Alaudidae')
"Tropicoperdix Blyth, 1859",1859,(SELECT scientific_name FROM families WHERE scientific_name = 'Phasianidae')
"Caloperdix Blyth, 1861",1861,(SELECT scientific_name FROM families WHERE scientific_name = 'Phasianidae')
"Tickellia Blyth, 1861",1861,(SELECT scientific_name FROM families WHERE scientific_name = 'Cettiidae')
