author_name
Adamowicz
Agne
Pacheco
Alexander
Allen
JA
Alstrm
Cibois
Irestedt
Zuccon
Gelang
Fjelds
Andersen
Moyle
Pasquet
Olsson
Amadon
"FSR, Amaral"
Sheldon
Gamauf
Haring
Riesing
Silveira
Wajntal
Audubon
Baird
SF
Baker
ECS
TE
Bangs
Penard
TE
TE
Banks
"KP, Weckstein"
Remsen
Johnson
JL
Barbour
Peters
Bates
GL
Bechstein
EJO
Berlepsch
Hartert
Stolzmann
Bertoni
AW
Bianchi
Billberg
Blyth
Boddaert
Boetticher
Boie
F
Bonaparte
Bond
J
Bonnaterre
Borkhausen
Bourne
Ashmole
Simmons
C
Brabourne
Chubb
Bradfield
Brandt
JF
Bravo
Chesser
Brumfield
"ML, Isler"
Whitney
Brehm
CL
Brisson
Brooke
Dean
Brown
T
Bruch
Bryant
H
Burmeister
"NA, Burns"
Unitt
Mason
Burton
Cabanis
Heine
Cabinis
Cai T
"JD, Kennedy"
Shao S
Zhang R
Ericson
Qu Y
Lei W
Caparroz
Carneiro
Aleixo
JD
Casey
Jacobi
Cassin
Chapin
Chapman
Cherrie
Claramunt
Harvey
Derryberry
Christidis
Rowe
Boles
Norman
Clancey
Cleere
Kratter
Steadman
"M, Braun"
Huddleston
Filardi
Dutson
Collar
Conrad von Baldenstein
Cory
Costa
Braun
"ND, White"
Coues
Cretzschmar
Crowe
Mandiwana-Neudani
Donsker
Bowie
Little
Cuvier
DAlbertis
Salvadori
dOrbigny
Lafresnaye
"A, David"
Oustalet
de Filippi
de la Llave
De Roo
de Slys-Longchamps
De Vis
Delacour
Berlioz
Cracraft
OQuin
des Murs
Desmarest
Dinesen
Lehmberg
Svendsen
Hansen
Du Bus de Gisignies
Dumril
Dumont
Dunajewski
Dwight
Griscom
Elliot
DG
Eschscholtz
Eyton
AB
Finsch
Meyer
Fischer von Waldheim
"GA, Fischer"
Reichenow
Fischer
GA
Fitzinger
Fleming
Forbes
HO
WA
Forster
JR
Frauenfeld
Friedmann
Fuchs
"B, Stuart"
Woxvold
Duckworth
Gaimard
Gambel
Garsault
Gay
Geoffroy Saint-Hilaire
""
"I, Geoffroy Saint-Hilaire"
Lesson
I
Giglioli
Gilliard
Gistel
Gloger
Goldfuss
Goodman
Langrand
Gosse
Gould
"CHB, Grant"
Mackworth-Praed
Grant
CHB
Grantsau
Gray
GR
"JE, Gray"
JE
Grote
Haagner
M
Robbins
Hargitt
"EJO, Hartert"
Paludan
Hartlaub
Heck
Hellmayr
Hemprich
Ehrenberg
Hermann
Hodgson
F
Horsfield
Moore
Humboldt
Hume
Hutton
FW
Illiger
Iredale
Irwin
Jardine
Selby
Jarocki
Jerdon
"BT, Joseph"
Merwin
Smith
Kashain
Kaup
JH
Keyserling
Blasius
JH
JH
JH
Kirchman
McInerney
Giarla
Olson
Slikas
Fleischer
Kirwan
"N, David"
"S, Gregory"
Jobling
Steinheimer
Brito
Kittlitz
Klicka
Kluk
Koch
Koepcke
Kuhl
Lacpde
Lane
"KJ, Burns"
Price-Waldman
"W, Lanyon"
Lanyon
W
Latham
Le Maout
Leach
Legge
"RP, Lesson"
Garnot
RP
Lewin
Lichtenstein
MHC
Lillo
Link
Linnaeus
Lopes
Chaves
"FR, Mendes de Aquino"
Santos
Lowe
Lowery
ONeill
Tallman
Lynes
Mller
JW
S
MacGillivray
Maingonnat
Malherbe
"CF, Mann"
"PJK, Burton"
Lennerstedt
"NI, Mann"
Barker
"PJB, Graves"
Dingess-Mann
Slater
"CHT, Marshall"
Marshall
Mathews
Maurcio
Mata
Bornschein
Cadena
Alvarenga
Bonatto
Mayr
Mearns
Meise
Merrem
Meyen
"AB, Meyer"
Wiglesworth
Miller
A
Milne-Edwards
Grandidier
Molina
Moltoni
Momiyama
Montagu
RT
J
Mulsant
Verreaux
"J, Verreaux"
"JA, Naumann"
Naumann
Neave
Nelson
Newton
Nguembock
Couloux
Cruaud
Nitzsch
North
Nyri
Joseph
GR
Graves
Oates
Oberholser
Ogilvie-Grant
Ohlson
James
Surez
Warheit
G
Owen
Gonzaga
Pallas
Paykull
Pennant
Perkins
Powell
"S, Lanyon"
Lovette
Prum
Przevalski
Pucheran
Quoy
Rppell
Rafinesque
Rand
Ranzani
Reichenbach
Reiser
Richmond
Ridgway
Riley
Ripley
Roberts
Robin
Vishnudas
Gupta
Rheindt
Hooper
Ramakrishnan
Reddy
EJO
Rothschild
Salvin
Godman
Sangster
Gaudin
Garcia-R
Trewick
"S, Dickinson"
Elliott
Gregory
"KP, Sangster"
Sweet
Savigny
Schinz
Schlegel
Schodde
IJ
"PL, Sclater"
Sclater
PL
WL
Scopoli
Severtsov
Sharpe
Shaw
Shelley
Simon
Slager
HH
Spix
Stejneger
Stephens
Stiles
Bruce
Stone
Storr
Strand
Stresemann
Streubel
Strickland
Such
Sundevall
Swainson
Swann
Swinhoe
Sykes
Taczanowski
Tello
Raposo
Temminck
Thunberg
Todd
Townsend
CH
Traylor
Tschudi
Tunstall
Tweeddale
van Oort
Vieillot
Vigors
Wagler
Walden
Waterhouse
JL
Wetmore
JL
Belmonte-Lopes
"Pie, Bornschein"
Wied-Neuwied
Wilson
SB
Wolters
Wood
CT
Zarudny
Loudon
Zimmer
JT
Prs-Jones
Rasmussen
Acerbi
Ainley
Alfaro
"D, Allen"
Oliveros
Espaola
Broad
Gonzalez
Anderson
Antinori
Ash
Ashby
Audebert
Bhm
Bttikofer
"WM, Baird"
Ball
Noble
TE
JL
Barboza du Bocage
Barrows
Bartlett
E
"GL, Bates"
Kinnear
Bennett
ET
FD
Benson
Berezowski
"MS, Bertoni"
Bingham
Blake
Hocking
Blanford
Bloxam
Blundell
Lovat
Boissonneau
Bolton
"AL, Smith"
Gmez-Daz
Friesen
Medeiros
Bried
Roscales
Furness
Reinert
Teixeira
Bosc
Boucard
Boulton
Bourcier
Bourns
Worcester
Bouvier
Brme
Brggemann
Brnnich
AE
Brewster
Brooks
WE
Buller
Burchell
Cabot
ICJ
Cain
Galbraith
Carnaby
Carriker
Chasen
Kloss
Children
EC
Lawson
Clark
AH
Clarke
Collett
Collins
Colston
Cooper
JG
Cornalia
Cowles
Da Silva Maia
Dalmas
Danis
Daudin
David
de Saussure
HLF
de Sousa
de Sparre
de Tarragon
L
Deignan
Greenway
Jabouille
Delattre
Delessert
Deppe
Prvost
Desfontaines
PL
Deville
Diamond
Dickinson
Dietrichsen
Dixon
Dole
Donovan
Dorst
Jouanin
Douglas
Drapiez
Dresser
Dubois
AJC
Durnford
"JC, Eames"
Eames
Trai Trong Le
Nguyen Cu
