scientific_name,common_name,year_discovered,genus_scientific_name
"Brotogeris pyrrhoptera (Latham, 1801)",Grey-cheeked Parakeet,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Brotogeris Vigors, 1825')"
"Cormobates leucophaea (Latham, 1801)",White-throated Treecreeper,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Cormobates Mathews, 1922')"
"Malurus melanocephalus (Latham, 1801)",Red-backed Fairywren,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Malurus Vieillot, 1816')"
"Acanthorhynchus tenuirostris (Latham, 1801)",Eastern Spinebill,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Acanthorhynchus Gould, 1837')"
"Gliciphila melanops (Latham, 1801)",Tawny-crowned Honeyeater,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Gliciphila Swainson, 1837')"
"Myzomela sanguinolenta (Latham, 1801)",Scarlet Myzomela,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Myzomela Vigors & Horsfield, 1827')"
"Phylidonyris pyrrhopterus (Latham, 1801)",Crescent Honeyeater,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Phylidonyris Lesson, RP, 1830')"
"Nesoptilotis leucotis (Latham, 1801)",White-eared Honeyeater,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Nesoptilotis Mathews, 1913')"
"Entomyzon cyanotis (Latham, 1801)",Blue-faced Honeyeater,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Entomyzon Swainson, 1825')"
"Lichenostomus melanops (Latham, 1801)",Yellow-tufted Honeyeater,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Lichenostomus Cabanis, 1851')"
"Caligavis chrysops (Latham, 1801)",Yellow-faced Honeyeater,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Caligavis Iredale, 1956')"
"Anthochaera chrysoptera (Latham, 1801)",Little Wattlebird,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Anthochaera Vigors & Horsfield, 1827')"
"Manorina melanophrys (Latham, 1801)",Bell Miner,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Manorina Vieillot, 1818')"
"Manorina melanocephala (Latham, 1801)",Noisy Miner,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Manorina Vieillot, 1818')"
"Dasyornis brachypterus (Latham, 1801)",Eastern Bristlebird,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Dasyornis Vigors & Horsfield, 1827')"
"Pyrrholaemus sagittatus (Latham, 1801)",Speckled Warbler,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Pyrrholaemus Gould, 1841')"
"Psophodes olivaceus (Latham, 1801)",Eastern Whipbird,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Psophodes Vigors & Horsfield, 1827')"
"Dryoscopus cubla (Latham, 1801)",Black-backed Puffback,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Dryoscopus Boie, F, 1826')"
"Nilaus afer (Latham, 1801)",Brubru,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Nilaus Swainson, 1827')"
"Artamus cyanopterus (Latham, 1801)",Dusky Woodswallow,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Artamus Vieillot, 1816')"
"Gymnorhina tibicen (Latham, 1801)",Australian Magpie,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Gymnorhina Gray, GR, 1840')"
"Cracticus torquatus (Latham, 1801)",Grey Butcherbird,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Cracticus Vieillot, 1816')"
"Strepera versicolor (Latham, 1801)",Grey Currawong,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Strepera Lesson, RP, 1831')"
"Daphoenositta chrysoptera (Latham, 1801)",Varied Sittella,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Daphoenositta De Vis, 1897')"
"Falcunculus frontatus (Latham, 1801)",Eastern Shriketit,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Falcunculus Vieillot, 1816')"
"Pachycephala pectoralis (Latham, 1801)",Australian Golden Whistler,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Pachycephala Vigors, 1825')"
"Pachycephala rufiventris (Latham, 1801)",Rufous Whistler,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Pachycephala Vigors, 1825')"
"Colluricincla harmonica (Latham, 1801)",Grey Shrikethrush,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Colluricincla Vigors & Horsfield, 1827')"
"Oriolus sagittatus (Latham, 1801)",Olive-backed Oriole,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Oriolus Linnaeus, 1766')"
"Rhipidura leucophrys (Latham, 1801)",Willie Wagtail,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Rhipidura Vigors & Horsfield, 1827')"
"Rhipidura rufifrons (Latham, 1801)",Rufous Fantail,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Rhipidura Vigors & Horsfield, 1827')"
"Grallina cyanoleuca (Latham, 1801)",Magpie-lark,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Grallina Vieillot, 1816')"
"Myiagra rubecula (Latham, 1801)",Leaden Flycatcher,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Myiagra Vigors & Horsfield, 1827')"
"Myiagra inquieta (Latham, 1801)",Restless Flycatcher,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Myiagra Vigors & Horsfield, 1827')"
"Melanodryas cucullata (Latham, 1801)",Hooded Robin,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Melanodryas Gould, 1865')"
"Microeca fascinans (Latham, 1801)",Jacky Winter,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Microeca Gould, 1841')"
"Zosterops lateralis (Latham, 1801)",Silvereye,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Zosterops Vigors & Horsfield, 1827')"
"Scissirostrum dubium (Latham, 1801)",Grosbeak Starling,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Scissirostrum Lafresnaye, 1845')"
"Zoothera lunulata (Latham, 1801)",Bassian Thrush,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Zoothera Vigors, 1832')"
"Cinnyris coccinigastrus (Latham, 1801)",Splendid Sunbird,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Cinnyris Cuvier, 1816')"
"Stagonopleura bella (Latham, 1801)",Beautiful Firetail,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Stagonopleura Reichenbach, 1850')"
"Neochmia temporalis (Latham, 1801)",Red-browed Finch,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Neochmia Gray, GR, 1849')"
"Euphonia pectoralis (Latham, 1801)",Chestnut-bellied Euphonia,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Euphonia Desmarest, 1806')"
"Monticola erythronotus (Lavauden, 1929)",Amber Mountain Rock Thrush,1929,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Monticola Boie, F, 1822')"
"Myiarchus cinerascens (Lawrence, 1851)",Ash-throated Flycatcher,1851,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Myiarchus Cabanis, 1844')"
"Rhynchophanes mccownii (Lawrence, 1851)",Thick-billed Longspur,1851,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Rhynchophanes Baird, SF, 1858')"
"Arremonops rufivirgatus (Lawrence, 1851)",Olive Sparrow,1851,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Arremonops Ridgway, 1896')"
"Microchera albocoronata (Lawrence, 1855)",Snowcap,1855,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Microchera Gould, 1858')"
"Aechmophorus occidentalis (Lawrence, 1858)",Western Grebe,1858,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Aechmophorus Coues, 1862')"
"Aechmophorus clarkii (Lawrence, 1858)",Clarks Grebe,1858,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Aechmophorus Coues, 1862')"
"Gavia pacifica (Lawrence, 1858)",Pacific Loon,1858,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Gavia Forster, JR, 1788')"
"Basilinna xantusii (Lawrence, 1860)",Xantuss Hummingbird,1860,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Basilinna Boie, F, 1831')"
"Phaenostictus mcleannani (Lawrence, 1860)",Ocellated Antbird,1860,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Phaenostictus Ridgway, 1909')"
"Laterallus albigularis (Lawrence, 1861)",White-throated Crake,1861,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Laterallus Gray, GR, 1855')"
"Hylopezus perspicillatus (Lawrence, 1861)",Streak-chested Antpitta,1861,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Hylopezus Ridgway, 1909')"
"Pachysylvia aurantiifrons (Lawrence, 1861)",Golden-fronted Greenlet,1861,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Pachysylvia Bonaparte, 1850')"
"Mitrospingus cassinii (Lawrence, 1861)",Dusky-faced Tanager,1861,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Mitrospingus Ridgway, 1898')"
"Hydropsalis maculicaudus (Lawrence, 1862)",Spot-tailed Nightjar,1862,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Hydropsalis Wagler, 1832')"
"Piculus callopterus (Lawrence, 1862)",Stripe-cheeked Woodpecker,1862,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Piculus Spix, 1824')"
"Xiphorhynchus lachrymosus (Lawrence, 1862)",Black-striped Woodcreeper,1862,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Xiphorhynchus Swainson, 1827')"
"Epinecrophylla fulviventris (Lawrence, 1862)",Checker-throated Stipplethroat,1862,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Epinecrophylla Isler, ML & Brumfield, 2006')"
"Ornithion brunneicapillus (Lawrence, 1862)",Brown-capped Tyrannulet,1862,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Ornithion Hartlaub, 1853')"
"Zimmerius parvus (Lawrence, 1862)",Mistletoe Tyrannulet,1862,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Zimmerius Traylor, 1977')"
"Phylloscartes flavovirens (Lawrence, 1862)",Panama Tyrannulet,1862,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Phylloscartes Cabanis & Heine, 1860')"
"Oncostoma olivaceum (Lawrence, 1862)",Southern Bentbill,1862,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Oncostoma Sclater, PL, 1862')"
"Conopias albovittatus (Lawrence, 1862)",White-ringed Flycatcher,1862,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Conopias Cabanis & Heine, 1860')"
"Campylorhynchus albobrunneus (Lawrence, 1862)",White-headed Wren,1862,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Campylorhynchus Spix, 1824')"
"Sporophila schistacea (Lawrence, 1862)",Slate-colored Seedeater,1862,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Sporophila Cabanis, 1844')"
"Gymnopithys bicolor (Lawrence, 1863)",Bicolored Antbird,1863,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Gymnopithys Bonaparte, 1857')"
"Sirystes albogriseus (Lawrence, 1863)",Choco Sirystes,1863,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Sirystes Cabanis & Heine, 1860')"
"Tachycineta albilinea (Lawrence, 1863)",Mangrove Swallow,1863,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Tachycineta Cabanis, 1851')"
"Chalcostigma olivaceum (Lawrence, 1864)",Olivaceous Thornbill,1864,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Chalcostigma Reichenbach, 1854')"
"Atlapetes tibialis (Lawrence, 1864)",Yellow-thighed Brushfinch,1864,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Atlapetes Wagler, 1831')"
"Thripadectes rufobrunneus (Lawrence, 1865)",Streak-breasted Treehunter,1865,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Thripadectes Sclater, PL, 1862')"
"Myrmotherula schisticolor (Lawrence, 1865)",Slaty Antwren,1865,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Myrmotherula Sclater, PL, 1858')"
"Pipilo ocai (Lawrence, 1865)",Collared Towhee,1865,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Pipilo Vieillot, 1816')"
"Heterospingus rubrifrons (Lawrence, 1865)",Sulphur-rumped Tanager,1865,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Heterospingus Ridgway, 1898')"
"Microchera cupreiceps (Lawrence, 1866)",Coppery-headed Emerald,1866,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Microchera Gould, 1858')"
"Leptotrygon veraguensis (Lawrence, 1866)",Olive-backed Quail-Dove,1866,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Leptotrygon Banks, Weckstein, Remsen & Johnson, KP, 2013')"
"Eugenes spectabilis (Lawrence, 1867)",Talamanca Hummingbird,1867,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Eugenes Gould, 1856')"
"Lampornis cinereicauda (Lawrence, 1867)",Grey-tailed Mountaingem,1867,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Lampornis Swainson, 1827')"
"Philodice bryantae (Lawrence, 1867)",Magenta-throated Woodstar,1867,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Philodice Mulsant, Verreaux, J & Verreaux, , 1866')"
"Automolus virgatus (Lawrence, 1867)",Western Woodhaunter,1867,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Automolus Reichenbach, 1853')"
"Parkerthraustes humeralis (Lawrence, 1867)",Yellow-shouldered Grosbeak,1867,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Parkerthraustes Remsen, 1997')"
"Bangsia flavovirens (Lawrence, 1867)",Yellow-green Tanager,1867,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Bangsia Penard, TE, 1919')"
"Amazilia luciae (Lawrence, 1868)",Honduran Emerald,1868,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Amazilia Lesson, RP, 1843')"
"Patagioenas subvinacea (Lawrence, 1868)",Ruddy Pigeon,1868,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Patagioenas Reichenbach, 1853')"
"Zentrygon costaricensis (Lawrence, 1868)",Buff-fronted Quail-Dove,1868,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Zentrygon Banks, Weckstein, Remsen & Johnson, KP, 2013')"
"Chlorothraupis carmioli (Lawrence, 1868)",Carmiols Tanager,1868,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Chlorothraupis Salvin & Godman, 1883')"
"Phyllomyias zeledoni (Lawrence, 1869)",White-fronted Tyrannulet,1869,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Phyllomyias Cabanis & Heine, 1860')"
"Phyllomyias plumbeiceps (Lawrence, 1869)",Plumbeous-crowned Tyrannulet,1869,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Phyllomyias Cabanis & Heine, 1860')"
"Phyllomyias uropygialis (Lawrence, 1869)",Tawny-rumped Tyrannulet,1869,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Phyllomyias Cabanis & Heine, 1860')"
"Neopipo cinnamomea (Lawrence, 1869)",Cinnamon Neopipo,1869,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Neopipo Sclater, PL & Salvin, 1869')"
"Lathrotriccus griseipectus (Lawrence, 1869)",Grey-breasted Flycatcher,1869,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Lathrotriccus Lanyon, W & Lanyon, S, 1986')"
"Phelpsia inornata (Lawrence, 1869)",White-bearded Flycatcher,1869,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Phelpsia Lanyon, W, 1984')"
"Cantorchilus superciliaris (Lawrence, 1869)",Superciliated Wren,1869,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Cantorchilus Mann, NI, Barker, Graves, JA, Dingess-Mann & Slater, PJB, 2006')"
"Zenaida graysoni (Lawrence, 1871)",Socorro Dove,1871,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Zenaida Bonaparte, 1838')"
"Psittacara brevipes (Lawrence, 1871)",Socorro Parakeet,1871,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Psittacara Vigors, 1825')"
"Hylorchilus sumichrasti (Lawrence, 1871)",Sumichrasts Wren,1871,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Hylorchilus Nelson, 1897')"
"Mimus graysoni (Lawrence, 1871)",Socorro Mockingbird,1871,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Mimus Boie, F, 1826')"
"Peucaea sumichrasti (Lawrence, 1871)",Cinnamon-tailed Sparrow,1871,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Peucaea Audubon, 1839')"
"Arremon atricapillus (Lawrence, 1874)",Black-headed Brushfinch,1874,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Arremon Vieillot, 1816')"
"Passerina rositae (Lawrence, 1874)",Rose-bellied Bunting,1874,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Passerina Vieillot, 1816')"
"Myiornis atricapillus (Lawrence, 1875)",Black-capped Pygmy Tyrant,1875,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Myiornis Bertoni, AW, 1901')"
"Ramphotrigon flammulatum (Lawrence, 1875)",Flammulated Flycatcher,1875,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Ramphotrigon Gray, GR, 1855')"
"Vireo nanus (Lawrence, 1875)",Flat-billed Vireo,1875,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Vireo Vieillot, 1808')"
"Cyanolyca argentigula (Lawrence, 1875)",Silvery-throated Jay,1875,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Cyanolyca Cabanis, 1851')"
"Nesospingus speculiferus (Lawrence, 1875)",Puerto Rican Tanager,1875,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Nesospingus Sclater, PL, 1885')"
"Habia cristata (Lawrence, 1875)",Crested Ant Tanager,1875,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Habia Blyth, 1840')"
"Cyanolyca pulchra (Lawrence, 1876)",Beautiful Jay,1876,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Cyanolyca Cabanis, 1851')"
"Riccordia bracei (Lawrence, 1877)",Braces Emerald,1877,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Riccordia Reichenbach, 1854')"
"Setophaga plumbea (Lawrence, 1877)",Plumbeous Warbler,1877,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Setophaga Swainson, 1827')"
"Catharopeza bishopi (Lawrence, 1878)",Whistling Warbler,1878,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Catharopeza Sclater, PL, 1880')"
"Bolborhynchus ferrugineifrons (Lawrence, 1880)",Rufous-fronted Parakeet,1880,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Bolborhynchus Bonaparte, 1857')"
"Melopyrrha grandis (Lawrence, 1881)",St. Kitts Bullfinch,1881,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Melopyrrha Bonaparte, 1853')"
"Leptotila wellsi (Lawrence, 1884)",Grenada Dove,1884,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Leptotila Swainson, 1837')"
"Cecropis daurica (Laxmann, 1769)",Red-rumped Swallow,1769,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Cecropis Boie, F, 1826')"
"Eunymphicus uvaeensis (Layard, EL & Layard, ELC, 1882)",Ouvea Parakeet,1882,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Eunymphicus Peters, JL, 1937')"
"Chrysocolaptes stricklandi (Layard, EL, 1854)",Crimson-backed Flameback,1854,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Chrysocolaptes Blyth, 1843')"
"Sturnornis albofrontatus (Layard, EL, 1854)",White-faced Starling,1854,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Sturnornis Legge, 1879')"
"Muscicapa muttui (Layard, EL, 1854)",Brown-breasted Flycatcher,1854,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Muscicapa Brisson, 1760')"
"Gymnomyza viridis (Layard, EL, 1875)",Yellow-billed Honeyeater,1875,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Gymnomyza Reichenow, 1914')"
"Meliphacator provocator (Layard, EL, 1875)",Kadavu Honeyeater,1875,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Meliphacator Mathews, 1930')"
"Clytorhynchus nigrogularis (Layard, EL, 1875)",Black-throated Shrikebill,1875,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Clytorhynchus Elliot, DG, 1870')"
"Todiramphus tristrami (Layard, EL, 1880)",Melanesian Kingfisher,1880,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Todiramphus Lesson, RP, 1827')"
"Centropus leucogaster (Leach, 1814)",Black-throated Coucal,1814,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Centropus Illiger, 1811')"
"Cymbilaimus lineatus (Leach, 1814)",Fasciated Antshrike,1814,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Cymbilaimus Gray, GR, 1840')"
"Lybius vieilloti (Leach, 1815)",Vieillots Barbet,1815,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Lybius Hermann, 1783')"
"Chrysolophus amherstiae (Leadbeater, 1829)",Lady Amhersts Pheasant,1829,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Chrysolophus Gray, JE, 1834')"
"Electron platyrhynchum (Leadbeater, 1829)",Broad-billed Motmot,1829,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Electron Gistel, 1848')"
"Polytelis anthopeplus (Lear, 1831)",Regent Parrot,1831,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Polytelis Wagler, 1832')"
"Cyanoramphus unicolor (Lear, 1831)",Antipodes Parakeet,1831,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Cyanoramphus Bonaparte, 1854')"
"Psitteuteles versicolor (Lear, 1831)",Varied Lorikeet,1831,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Psitteuteles Bonaparte, 1854')"
"Zanda baudinii (Lear, 1832)",Baudins Black Cockatoo,1832,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Zanda Mathews, 1913')"
"Horornis haddeni (Lecroy & Barker, 2006)",Bougainville Bush Warbler,2006,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Horornis Hodgson, 1845')"
"Nisaetus kelaarti (Legge, 1878)",Legges Hawk-Eagle,1878,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Nisaetus Hodgson, 1836')"
"Calidris temminckii (Leisler, 1812)",Temmincks Stint,1812,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Calidris Merrem, 1804')"
"Calidris minuta (Leisler, 1812)",Little Stint,1812,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Calidris Merrem, 1804')"
"Calandrella brachydactyla (Leisler, 1814)",Greater Short-toed Lark,1814,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Calandrella Kaup, 1829')"
"Mellisuga helenae (Lembeye, 1850)",Bee Hummingbird,1850,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Mellisuga Brisson, 1760')"
"Myadestes elisabeth (Lembeye, 1850)",Cuban Solitaire,1850,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Myadestes Swainson, 1838')"
"Teretistris fernandinae (Lembeye, 1850)",Yellow-headed Warbler,1850,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Teretistris Cabanis, 1855')"
"Nyctiprogne vielliardi (Lencioni-Neto, 1994)",Plain-tailed Nighthawk,1994,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Nyctiprogne Bonaparte, 1857')"
"Oenanthe pleschanka (Lepechin, 1770)",Pied Wheatear,1770,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Oenanthe Vieillot, 1816')"
"Phaethornis pretrei (Lesson, RP & Delattre, 1839)",Planalto Hermit,1839,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Phaethornis Swainson, 1827')"
"Metallura phoebe (Lesson, RP & Delattre, 1839)",Black Metaltail,1839,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Metallura Gould, 1847')"
"Doricha eliza (Lesson, RP & Delattre, 1839)",Mexican Sheartail,1839,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Doricha Reichenbach, 1854')"
"Selasphorus heloisa (Lesson, RP & Delattre, 1839)",Bumblebee Hummingbird,1839,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Selasphorus Swainson, 1832')"
"Abeillia abeillei (Lesson, RP & Delattre, 1839)",Emerald-chinned Hummingbird,1839,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Abeillia Bonaparte, 1850')"
"Phonygammus keraudrenii (Lesson, RP & Garnot, 1826)",Trumpet Manucode,1826,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Phonygammus Lesson, RP & Garnot, 1826')"
"Hemiprocne mystacea (Lesson, RP & Garnot, 1827)",Moustached Treeswift,1827,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Hemiprocne Nitzsch, 1829')"
"Sephanoides sephaniodes (Lesson, RP & Garnot, 1827)",Green-backed Firecrown,1827,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Sephanoides Gray, GR, 1840')"
"Thaumastura cora (Lesson, RP & Garnot, 1827)",Peruvian Sheartail,1827,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Thaumastura Bonaparte, 1850')"
"Amazilis amazilia (Lesson, RP & Garnot, 1827)",Amazilia Hummingbird,1827,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Amazilis Gray, GR, 1855')"
"Patagioenas araucana (Lesson, RP & Garnot, 1827)",Chilean Pigeon,1827,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Patagioenas Reichenbach, 1853')"
"Larosterna inca (Lesson, RP & Garnot, 1827)",Inca Tern,1827,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Larosterna Blyth, 1852')"
"Myzomela eques (Lesson, RP & Garnot, 1827)",Ruby-throated Myzomela,1827,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Myzomela Vigors & Horsfield, 1827')"
"Peltops blainvillii (Lesson, RP & Garnot, 1827)",Lowland Peltops,1827,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Peltops Wagler, 1829')"
"Melloria quoyi (Lesson, RP & Garnot, 1827)",Black Butcherbird,1827,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Melloria Mathews, 1912')"
"Pitohui kirhocephalus (Lesson, RP & Garnot, 1827)",Northern Variable Pitohui,1827,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Pitohui Lesson, RP, 1831')"
"Carterornis chrysomela (Lesson, RP & Garnot, 1827)",Golden Monarch,1827,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Carterornis Mathews, 1912')"
"Arses telescopthalmus (Lesson, RP & Garnot, 1827)",Frilled Monarch,1827,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Arses Lesson, RP, 1831')"
"Petroica longipes (Lesson, RP & Garnot, 1827)",North Island Robin,1827,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Petroica Swainson, 1829')"
"Pelecanoides garnotii (Lesson, RP & Garnot, 1828)",Peruvian Diving Petrel,1828,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Pelecanoides Lacpde, 1799')"
"Zonerodius heliosylus (Lesson, RP & Garnot, 1828)",Forest Bittern,1828,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Zonerodius Salvadori, 1882')"
