scientific_name,common_name,year_discovered,genus_scientific_name
"Pica nuttalli (Audubon, 1837)",Yellow-billed Magpie,1837,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Pica Brisson, 1760')"
"Agelaius tricolor (Audubon, 1837)",Tricolored Blackbird,1837,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Agelaius Vieillot, 1816')"
"Stelgidopteryx serripennis (Audubon, 1838)",Northern Rough-winged Swallow,1838,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Stelgidopteryx Baird, SF, 1858')"
"Myadestes townsendi (Audubon, 1838)",Townsends Solitaire,1838,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Myadestes Swainson, 1838')"
"Phoebastria nigripes (Audubon, 1839)",Black-footed Albatross,1839,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Phoebastria Reichenbach, 1853')"
"Spinus yarrellii (Audubon, 1839)",Yellow-faced Siskin,1839,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Spinus Koch, 1816')"
"Pipilo chlorurus (Audubon, 1839)",Green-tailed Towhee,1839,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Pipilo Vieillot, 1816')"
"Phalaenoptilus nuttallii (Audubon, 1844)",Common Poorwill,1844,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Phalaenoptilus Ridgway, 1880')"
"Anthus spragueii (Audubon, 1844)",Spragues Pipit,1844,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Anthus Bechstein, 1805')"
"Ammospiza leconteii (Audubon, 1844)",LeContes Sparrow,1844,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Ammospiza Oberholser, 1905')"
"Centronyx bairdii (Audubon, 1844)",Bairds Sparrow,1844,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Centronyx Baird, SF, 1858')"
"Sarothrura lugens (Bhm, 1884)",Chestnut-headed Flufftail,1884,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Sarothrura Heine, 1890')"
"Ficedula riedeli (Bttikofer, 1886)",Tanimbar Flycatcher,1886,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Ficedula Brisson, 1760')"
"Jubula lettii (Bttikofer, 1889)",Maned Owl,1889,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Jubula Bates, GL, 1929')"
"Locustella castanea (Bttikofer, 1893)",Sulawesi Bush Warbler,1893,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Locustella Kaup, 1829')"
