scientific_name,common_name
Certhiidae,Treecreepers
Mimidae,Mockingbirds
Sturnidae,Starlings
Buphagidae,Oxpeckers
Turdidae,Thrushes
Muscicapidae,Chats
Cinclidae,Dippers
Chloropseidae,Leafbirds
Dicaeidae,Flowerpeckers
Nectariniidae,Sunbirds
Passeridae,Old World Sparrows
Ploceidae,Weavers
Estrildidae,Waxbills
Viduidae,Indigobirds
Peucedramidae,Olive Warbler
Prunellidae,Accentors
Motacillidae,Wagtails
Urocynchramidae,Przevalskis Finch
Fringillidae,Finches
Calcariidae,Longspurs
Rhodinocichlidae,Thrush-tanager
Emberizidae,Buntings
Passerellidae,New World Sparrows
Calyptophilidae,Chat-tanagers
Phaenicophilidae,Hispaniolan Tanagers
Nesospingidae,Puerto Rican Tanager
Spindalidae,Spindalises
Zeledoniidae,Wrenthrush
Teretistridae,Cuban Warblers
Icteriidae,Yellow-breasted Chat
Icteridae,Oropendolas
Parulidae,New World Warblers
Mitrospingidae,Mitrospingid Tanagers
Cardinalidae,Cardinals
Thraupidae,Tanagers
