vernacularName	language	taxonID
Pink-footed Goose	en	f7a0faab3cfe72b532741d6a05460534
Tundra Bean Goose	en	5760203f2a6e12e73bae247f31bfa68b
Greater White-fronted Goose	en	e853dbe0d96aa539013e3ba9937e7b90
Lesser White-fronted Goose	en	74efcbd52a490be2594cdf1f666277b3
Coscoroba Swan	en	ae2e6cb27a1357a039ebf037249ad096
Black Swan	en	1f9ca02bd192d251917aeb62132db75a
Black-necked Swan	en	7265e8a1e5cf87572893faa8c1cc75ee
Mute Swan	en	52a5ef2198049e8ea9f1f4b28ee5333c
Trumpeter Swan	en	436235e6c4ba75ca6f3593d6f0130337
Tundra Swan	en	0ee810ffb4bb8a9182e98b3cbe97e4a7
Whooper Swan	en	5f087936c1645766c061eaf38c42f6dd
Freckled Duck	en	0b2ada6b90fd779ac2b62843c26222b6
Blue Duck	en	13559d2c52f1f2444a22b6a24d9d3071
Flying Steamer Duck	en	7c3e2e959c9ce15102b501c755b7e270
Fuegian Steamer Duck	en	8234fe44a64a53487a0884754a84cc94
Falkland Steamer Duck	en	3d577ef4d11692bd6f3610947ca4a9e7
Chubut Steamer Duck	en	3c48a05d9ff85912bf98f2b3c9bb36e6
Torrent Duck	en	f527a57ef031733e2fbf8c8805136d76
Spur-winged Goose	en	b5dae2fa6e31b51097222d9742b952c6
Comb Duck	en	43494ab5608343c1664307f216afa576
Knob-billed Duck	en	90e6ed063de4107d496e92a9cdabec95
Blue-winged Goose	en	4d68c9a118f719fdc8484af3bdb391bd
Egyptian Goose	en	7f0c2965248c2ce1e1ed5152315058c3
Mauritius Sheldgoose	en	045470334bab01827bac2afeb90d76de
Reunion Sheldgoose	en	645713093554aac0d7c5b9db9aa6d552
Orinoco Goose	en	9a8b6129fa5e0aff64df9a1e9b58b5cc
Andean Goose	en	413945ac3097aca546b7bc25444509c7
Upland Goose	en	08d1a49c5d5b0443671022452de56421
Kelp Goose	en	434f3d7f215b6179b7c017a57ff1e81e
Ashy-headed Goose	en	4615afceb8351cf6e9914cbce410b453
Ruddy-headed Goose	en	c999ffaaff7b760bd3aba8082afe3941
Radjah Shelduck	en	1eca57a01a15e41de5d171f40aadd83d
Common Shelduck	en	548787319f30d15d96e9d0bad938d132
Ruddy Shelduck	en	93fc024c5f96f106958ff5d8537444cf
South African Shelduck	en	27974f107f0b8103830c6a026e226dfa
Australian Shelduck	en	66583f245d9b82c066bb0d57ab8c364e
Paradise Shelduck	en	2eea358bed8c6c579551ae5f2065b440
Crested Shelduck	en	a6eae77ac794616080a25954c4e2d97d
Pink-eared Duck	en	018409b18f7daa69de1d7f2cbab5ece5
Salvadori's Teal	en	b5c5df7fca5b93be875bec18ced76bf0
Muscovy Duck	en	829bb503d5d7519137b6276ade2f3b0c
White-winged Duck	en	8e50f205c1d365a527d0a57e2dbd39c0
Hartlaub's Duck	en	465d31cdde7dbab1a30a27729d4e46b4
Wood Duck	en	524bbf71538f1c71693a57d5605075c9
Mandarin Duck	en	1d61c402aa635e98f31137a9dcb21d28
Maned Duck	en	aa1b79f7067443d49e2935489c0535bd
African Pygmy Goose	en	caf13ea023e00ee00ad1ca8c15b68716
Cotton Pygmy Goose	en	9c9152df7e50fc29cf7042520f9eded1
Green Pygmy Goose	en	7e35f0be2b3b1bf253f3ca0ce60ec9fd
Brazilian Teal	en	2ccfd8f07836021f6df73a5e357cb74f
Ringed Teal	en	cdc69fe1f7194c81348515db98c21e90
Crested Duck	en	d2b091af061fb801e053d93b225f7e46
Bronze-winged Duck	en	ac101c5725dcf2b08362927d2c7de94d
Baikal Teal	en	e7bcbe0f6e2a1ba73e60477b2ec7d014
Garganey	en	49aeb0b01f8fb05e3f8368dd615f5eb5
Blue-billed Teal	en	6d680ba4fa8cdd6edbce566d54ead3ce
Puna Teal	en	0e8501cfddf125afa4ae2ed2e267f829
Silver Teal	en	b81597105367adf0a6da5b91eac42bf3
Red Shoveler	en	8cf8610121e2ff15a5b6730317583625
Cinnamon Teal	en	9536743464a4433c4cf379d8fccdd3e1
Blue-winged Teal	en	2798488a95b1af23b0da4e0f908d8d99
Cape Shoveler	en	e68d2277f18f078a2fe792837e4af70c
Australasian Shoveler	en	6c508a2bef0c14c195a0ed7dbe10f422
Northern Shoveler	en	d5e097baa7a753ecf47332eb229c7b11
Gadwall	en	e7d3daae8b520d3aa138369141057827
Falcated Duck	en	a21788101485603607c82f9edda0b70e
Eurasian Wigeon	en	d689407621bf5b5e2216e201fd329f2d
Chiloe Wigeon	en	95754b3117af1b4276445b30b0165797
American Wigeon	en	6bf3cc990c3ffab0a0b25fb25b5f440d
Amsterdam Wigeon	en	dcd610ec503d2d1791defb3cc9f4a6ea
African Black Duck	en	85e78594872357b1134d025cfab2936a
Yellow-billed Duck	en	9429634b76f67275cf14d557d192bc2b
Meller's Duck	en	88c18b1ec31ba6dbbe65dd1c594470aa
Pacific Black Duck	en	594c8e1a43650bf5defa7d8f11481fe7
Laysan Duck	en	ffc04daf8cdfdec21360948aee5c792f
Hawaiian Duck	en	943fa3cfcefe4af40e5f78dfd32b60fe
Philippine Duck	en	af3de4f04fcd516df547a800454a89ff
Indian Spot-billed Duck	en	59dbcfea4cce7b9c6ccfdb8c4291be74
Eastern Spot-billed Duck	en	5035829942e1820aec5b465230170031
Mallard	en	5ac1a6495433c81b82cc81c9ef06e0ae
Mottled Duck	en	3b5d9dbc62dd6ff3149c7936c78995df
American Black Duck	en	6e1daa28e96657db3655af7988e660c6
Mexican Duck	en	8aa7a49aa91e2bd1c385a3be393deeb5
Cape Teal	en	9bc48f11ecf03203cd212e758185c38b
White-cheeked Pintail	en	0859e319ea222352d62f5e7201aafddb
Red-billed Teal	en	3e1e0aa8d122400c59d39e8774ad8128
Yellow-billed Pintail	en	f9893936de0c69e75f05e55606453691
Eaton's Pintail	en	09a560e447426f8042927c9b6bbbb82a
Northern Pintail	en	2cf7ac820d46b8de8dda1a230b45d967
Eurasian Teal	en	b282fc376d6e69d5f2c230f7342e4733
Green-winged Teal	en	899b313cd5a94be2b8d3ca53d382e134
Yellow-billed Teal	en	2d095cd166b298693c10c9caafd565d0
Andean Teal	en	4239ce14f0f7642d0c6b5705e18b4856
Sunda Teal	en	34aa462c6a6005d8ee9a9995032825bc
Andaman Teal	en	18f16937e70338cab65490bfc476d5ea
Mascarene Teal	en	42359fbc32076e35abdfe98e44059919
Grey Teal	en	659da35ba87c4f5501562dc6f5f48466
Chestnut Teal	en	02349a8fd3d703677d2b2cd8ba5bfeca
Bernier's Teal	en	f4d3d4106884a17776ad87771d465bde
Brown Teal	en	79535f3bcd31ab453033309a50c05187
Auckland Teal	en	9ece850a28a277e851ad29fc00716855
Campbell Teal	en	089ee2d7c801aea87ba3825d2beccd09
Marbled Duck	en	548fd8da1a6f9955c42d765cfd395138
Pink-headed Duck	en	45be23032513e1bc07463eb56b78dc29
Red-crested Pochard	en	029ff9265811faa5cc45b83496f6b78c
Rosy-billed Pochard	en	783aa632c6e73e6bbcfe76ccd268982b
Southern Pochard	en	da1f7f75919af15f6b980ffe39375b0e
Canvasback	en	36353760b38a0661c197a2d722aa098f
Redhead	en	7d60e0fa984536dec918e5180d50e1e0
Common Pochard	en	7c96724b3c42d96ec7e715159b6c115d
Hardhead	en	e2dde38138ddd71951b3c97772591d36
Madagascar Pochard	en	86f51fa6641000c6312adc85c269415a
Baer's Pochard	en	3c3dd9c9e1b0cb0f362740be9435a014
Ferruginous Duck	en	58ed8080449e7341ca4eb8b00fda3f8f
New Zealand Scaup	en	45fe919b7c7fd78fa2dba4b625368c3a
Ring-necked Duck	en	61d47be5dc659fff9bde8f69192b5753
Tufted Duck	en	88c1b996cd435597b7b87965de16ee0d
Greater Scaup	en	38037f102fb5fc0f72cddb5af10814c9
Lesser Scaup	en	37bcf8b6b31cb0aae40a2ad74b86f045
Steller's Eider	en	2842f6439d76927c1da0781e58d57dcc
Labrador Duck	en	3ad9db20a5dc02815e0d80eb1da5d4a3
Spectacled Eider	en	66e66fb22dfe74e31881b5e79a60148d
King Eider	en	f00e91f77dce59c002f6aa8f1c76aece
Common Eider	en	0c2d106f6ff838cb9cbb386918f026b8
Harlequin Duck	en	aa4c7e297a0470dec3f444e4d6e59718
Surf Scoter	en	e837939c0f52062a6da089df9df0d74a
Velvet Scoter	en	6b1f22267ada1fd52ebcb4b0fee1a7b6
White-winged Scoter	en	99bb657ad207b7d3e95d8bdf30482940
Stejneger's Scoter	en	bbf9b1e3e2922ff5c7279d7d05e7544d
Common Scoter	en	1b5707df51a266f3345e741a0d208cda
Black Scoter	en	ed81f6250f7e7a2404fde36106771c75
Long-tailed Duck	en	6dd656ecf55edf54cc559d886dcbef9a
Bufflehead	en	dbd0a34d720b559a09f83d7c9e069461
Common Goldeneye	en	ab7a2944119e5d22c66279f59b59eebe
Barrow's Goldeneye	en	abc9adf4acff97511b9068abee6e1e52
Smew	en	75c6d24706fc2b55e9108f4606e01e94
Hooded Merganser	en	76b93f294df904f189d2376cac95aafd
New Zealand Merganser	en	8cb56f07bc89e359ba0734d644ebbe86
Brazilian Merganser	en	6400f4e50004644fff7f13045b92c505
Common Merganser	en	2735c8eab1ca0b100c776cbf8b4b736a
Red-breasted Merganser	en	6094a5cae8517cc6737c55db7674aec4
Scaly-sided Merganser	en	2355b28872e1f7218bf2e9f500fdee1f
Black-headed Duck	en	24b76d746696a509ee9a91e7ef7c8b5c
Masked Duck	en	e69fba5351b3b36dfa075e0665709e20
Ruddy Duck	en	0f3562b697a3ef1de51e6cdaa45f88ca
Andean Duck	en	07b7c59a4c8d11cf851d43611bfb3f5e
Lake Duck	en	8ca03a2722d18759286b9ee164f924e6
Blue-billed Duck	en	eb7bf7a1199e945ec41bdd2258d6825e
Maccoa Duck	en	c03c11469522b9d324255f571507f265
White-headed Duck	en	21e68a24d2f5d08039158a9afcbc16bd
Musk Duck	en	cd40a76f9f216e858f51911900bb384b
Megapodes	en	b6be1dda4f68ce737c81873ba1ce1a69
Australian Brushturkey	en	dba5bcbad8afa73ebdfc016506c42de3
Wattled Brushturkey	en	8b55b0b293572813dce841cdd7913dcc
Waigeo Brushturkey	en	1baaa09dfffee76f8d7c739eef481991
Red-billed Brushturkey	en	fe349ef8ef58fad69b08ddae89ca24fe
Black-billed Brushturkey	en	fb88fdf6a2e4b1eb3eaaaf8bb6028502
Collared Brushturkey	en	d5153aad15d5ba97f24c5a02d1caff76
Malleefowl	en	c0fd9bc68cb999be847beba06223d10f
Maleo	en	7fa238b76945827eadbd5a29ced94d0d
Moluccan Megapode	en	8f0362e821e40fb1bac2ca83e60a5205
Tongan Megapode	en	5a018b0eee9dfeed6886be50042a1405
Micronesian Megapode	en	c7c2d01bb7873c4570ad3d10487ae42d
Nicobar Megapode	en	8caedcb6c79974fca61eba9887deea01
Philippine Megapode	en	a32b2ad28c632628b9ef6bb692c97c0f
Sula Megapode	en	066c97bd249aea122bb2b20fb7e8eaf4
Tanimbar Megapode	en	cb3a324cf8b08d7a51a80e0e3d0ca9ab
Dusky Megapode	en	c32371767f3db3e1c01ff28201183d61
Biak Scrubfowl	en	8eeb3cb7f4ed69e32630f07525ba28b0
Melanesian Megapode	en	ac90fc79be53d6f067fefa1136301e91
Vanuatu Megapode	en	cfe59582cfd10f633b33c556710b84b6
New Guinea Scrubfowl	en	7687cd7d06b610893267bf222596015b
Orange-footed Scrubfowl	en	95545f9619aa069719035a71f50d945a
Chachalacas, Curassows, Guans	en	03871aadb38349f39379e475deef7c50
Plain Chachalaca	en	b955a93573d31e4d61110e808d554fb6
Grey-headed Chachalaca	en	f60a45492acc1c3283a636c6f91aaf96
Chestnut-winged Chachalaca	en	a799176f5b25f391007b2007b46afe14
Rufous-vented Chachalaca	en	5a03741a195bdf9ce0ff43d2fa27f928
Rufous-headed Chachalaca	en	b63d7922234569be9ddaccd6115a4c86
Rufous-bellied Chachalaca	en	e10d16bb06385dbf3859852246d9e646
West Mexican Chachalaca	en	0b551ca90400137914fb2813da02f6a5
Chaco Chachalaca	en	fe709dd0d7e4e496bc0392b836645446
White-bellied Chachalaca	en	d0ca62cd9e06f5ac168e94422c142052
Speckled Chachalaca	en	dd89895771db7a3f52e3ffac3aa16504
East Brazilian Chachalaca	en	50ccaf0bbfc023db6e7d4d3d3e3d93d5
Scaled Chachalaca	en	403e0bdf1c4e38fc865e736a86f5800a
Colombian Chachalaca	en	9bcc1b39770a1d7b4d4917fca3a38335
Little Chachalaca	en	e3511ed5cd7a9808867d8abd575fb3be
Chestnut-headed Chachalaca	en	961294aa5952be24304bc35692eef115
Buff-browed Chachalaca	en	80932f7b0613657bf0ba5bc02df97235
Band-tailed Guan	en	30ac8f908ec876ba2930826ef338cc10
Bearded Guan	en	2694340a7eb9ac4a09d5d604fe1d10a4
Baudo Guan	en	24aee94fc7fe8ae82edbb103cad6503f
Andean Guan	en	931d1b8448171665185a0d4848cec836
Marail Guan	en	4e6535c684d360fddf35524b284fba24
Rusty-margined Guan	en	79a9be13e6fcba64e41383f2a5404ab4
Red-faced Guan	en	895b7fd72f0637cbc692a7608e13a915
Crested Guan	en	12a42e2bebfffb752678d15e35c73adc
Cauca Guan	en	870500adca0e88efdd80c9d911dfcda1
White-winged Guan	en	1fbd48c35d5aa0bd83c0f7dac0044e3a
Spix's Guan	en	3bae20602d6c4f35da4a649b97bd0c94
Dusky-legged Guan	en	99974448f851ee407873ccb9e82ce9a0
Yungas Guan	en	3507144756a787dc2aa8de66723bd3bd
White-crested Guan	en	2f7cc58dfdbca77ef9f63d5f1ef44456
Chestnut-bellied Guan	en	13ff9d5a5d9cb7ccc0f69fb2b0d3e4f2
White-browed Guan	en	380a322072533ae4e9442663f9043c1e
Trinidad Piping Guan	en	7d35299bf33c4f49d1f8e54f70e45621
Blue-throated Piping Guan	en	e5a7e6a030631fb0aa122d1c4b14d5d2
White-throated Piping Guan	en	3d8c2e460599a275f13602d1b05fb361
Red-throated Piping Guan	en	1e72720b4fdf5605da01b58e3aeaaed0
Black-fronted Piping Guan	en	3fcb4a58f96d8df0cc49ef1d1c3081fe
Wattled Guan	en	3c7725011f02661ed1cb9b01d75ab2d8
Black Guan	en	a587a1d985ea9b805b08481d4f123dcb
Sickle-winged Guan	en	c0e66d549fbbc19e1825c7fa1af23152
Highland Guan	en	31ece80e1cf2b774c8301dc17b6d1f53
Horned Guan	en	80d73fc9120d212001cd9922bb459212
Nocturnal Curassow	en	7faff56cc68740fe25fcf6d5308ff377
Crestless Curassow	en	d321eadc40bee0e2885573b40f3d532d
Salvin's Curassow	en	4d9eb7bfaa210b9a9dfa7f8b86efc9a2
Razor-billed Curassow	en	23aa45f5d16b215d8af88c865e25a512
Alagoas Curassow	en	7f80483317a61ab23fc8d140778f87a5
Helmeted Curassow	en	2d77cf3e93c966ff61bb28669ec31ea9
Horned Curassow	en	d1030fd664212a5a480bd4e4a3d3604b
Sira Curassow	en	96fe5f820dc87d32e84178f01c8ea9ab
Great Curassow	en	d9ac874cb543a60b0b2bff1d13b53978
Blue-billed Curassow	en	60076306ff87e28a2d8721070fc199a4
Yellow-knobbed Curassow	en	006d043f217026d8d2fc911b0ca854de
Black Curassow	en	e645d854289abe8ad2c1bc12cbae3a04
Wattled Curassow	en	7bc90d70aa901e0356061c9c52ab42ad
Bare-faced Curassow	en	f7824cdccc48ed1ae5e89eca02663d75
Red-billed Curassow	en	8ec8610fd34ca32799df7076e0ecf6a6
Guineafowl	en	11f2caf123888a6f06cdc0c0fd55dd54
White-breasted Guineafowl	en	8d0a0d99776df6ac18ddfbd2235aeeb8
Black Guineafowl	en	dcb8fdb46091fa1d4f3228e7cb2752e6
Helmeted Guineafowl	en	75ef6a67c9eea6781570a48557a7d7a3
Plumed Guineafowl	en	c266f9dc7dab8c2c50a32093f4f89145
Western Crested Guineafowl	en	3cd1a52050a4c28af7a6ba6b271d55f0
Eastern Crested Guineafowl	en	5836bb316f3551196c5f6cabe48ee55c
Southern Crested Guineafowl	en	9ccdee313855760dacd8186816971234
Vulturine Guineafowl	en	b37465a310162ac51722e20e121bfd85
New World Quail	en	28bb750f95aa27b95644806c1014189e
Stone Partridge	en	6c70e471e949b13cd2d3a9e55b429e6f
Nahan's Partridge	en	2c5786488e2e8e48e61107509efc2471
Buffy-crowned Wood Partridge	en	e7148fc838b3b4e6da8249352d27f8c2
Long-tailed Wood Partridge	en	6165c4903ee64118591f8d21e83c4c8e
Bearded Wood Partridge	en	4e6409abc0619bd3a9352e1f0636e638
Mountain Quail	en	fe2a168f55e195c20eefa3c881eb3570
Scaled Quail	en	0a27d201046e574abcc25810ea2de701
Elegant Quail	en	2e05cc8c68ef7e905cdd7e782753bccb
California Quail	en	826053f438bead0a69647248ebefcc52
Gambel's Quail	en	539bf7d72353b0c69afeb47748593341
Banded Quail	en	bb1909c174e12eb57343fa33779b5c16
Northern Bobwhite	en	1e5f4f487dab3156557143c0be9b3458
Yucatan Bobwhite	en	9c5892b9a21a940b12d3f6774c0c988e
Spot-bellied Bobwhite	en	cc20bd332fc481aaf6ae88ef3546b4bf
Crested Bobwhite	en	862b1d0d07540987bdad803a4214e29d
Marbled Wood Quail	en	db0ee14bf233ccfcf5898f467ab8655c
Spot-winged Wood Quail	en	f98cf11819341c461dbe845ee8daeff0
Black-eared Wood Quail	en	0efce64063528eed15f4b79faedafc95
Rufous-fronted Wood Quail	en	412f59dbb1f49733c6d54aec58f9a871
Black-fronted Wood Quail	en	b5a26fcc33e5c48e67117dc1373cfab6
Chestnut Wood Quail	en	da1253ab8b4b0f1cd25ece39dea6fdd2
Dark-backed Wood Quail	en	c6b8ce4260ae9741929f7a6af2557a6e
